"SP_1","SP_2","SP_3","SP_4","SP_5","SP_6","SP_7","SP_8","fitness"
0,0,0,0,0,1,1,1,0.1827
0,0,0,0,0,1,1,1,0.28425
0,0,0,0,0,1,1,1,0.30555
0,0,0,0,0,1,0,1,0.0797
0,0,0,0,0,1,0,1,0.1299
0,0,0,0,0,1,0,1,0.14575
0,0,0,0,0,0,1,0,0.441617647058824
0,0,0,0,0,0,1,0,0.49566
0,0,0,0,0,0,1,0,0.46461
0,0,0,0,0,0,1,1,0.35185
0,0,0,0,0,0,1,1,0.46665
0,0,0,0,0,0,1,1,0.403175
0,0,0,0,0,0,0,1,0.224445454545455
0,0,0,0,0,0,0,1,0.147844444444444
0,0,0,0,0,0,0,1,0.131905555555556
